#Twelve Days of Christmas Data
first, A partridge in a pear tree.
second, Two turtle doves and
third, Three French hens
fourth, Four calling birds,
fifth, Five gold rings
sixth, Six geese a-laying
seventh, Seven swans a-swimming
eighth, Eight maids a-milking
ninth, Nine ladies dancing
tenth, Ten lords a-leaping
eleventh, Eleven pipers piping
twelfth, Twelve drummers drumming
